Ticker,Weightage
ADANIPORTS.NS,0.0082
APOLLOHOSP.NS,0.0061
ASIANPAINT.NS,0.0195
AXISBANK.NS,0.0257
BAJAJFINSV.NS,0.012
BAJFINANCE.NS,0.0237
BHARTIARTL.NS,0.0233
BPCL.NS,0.0046
BRITANNIA.NS,0.0052
CIPLA.NS,0.0068
COALINDIA.NS,0.0051
DIVISLAB.NS,0.0077
DRREDDY.NS,0.0067
EICHERMOT.NS,0.0049
GRASIM.NS,0.0085
HCLTECH.NS,0.0153
HDFCBANK.NS,0.081
HDFCLIFE.NS,0.0072
HEROMOTOCO.NS,0.0043
HINDALCO.NS,0.0094
HINDUNILVR.NS,0.0267
ICICIBANK.NS,0.069
INDUSINDBK.NS,0.0085
INFY.NS,0.0766
ITC.NS,0.0303
JSWSTEEL.NS,0.0094
KOTAKBANK.NS,0.0351
LT.NS,0.0274
MARUTI.NS,0.0137
NESTLEIND.NS,0.0087
NTPC.NS,0.0099
ONGC.NS,0.0078
POWERGRID.NS,0.0104
RELIANCE.NS,0.1286
SBILIFE.NS,0.0065
SBIN.NS,0.0254
SHREECEM.NS,0.0046
SUNPHARMA.NS,0.0134
TATACONSUM.NS,0.0066
TATAMOTORS.NS,0.0105
TATASTEEL.NS,0.0137
TCS.NS,0.0491
TECHM.NS,0.0105
TITAN.NS,0.0137
ULTRACEMCO.NS,0.0102
UPL.NS,0.006
WIPRO.NS,0.0101
